userName,Rating,ReviewDate,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
Pengguna Google,5,2026-03-30 20:50:47,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-30 08:07:00,aplikasi super untuk kaum bismania 🙏,0.5994,Positive,0.5 to 1.0
Pengguna Google,5,2026-03-30 06:35:32,great,0.6249,Positive,0.5 to 1.0
Pengguna Google,5,2026-03-28 16:03:43,Bagus sih tapi kenapa kode QR booking tiketnya error kalo bisa diperbaiki.,-0.4019,Mixed Positive,-0.49 to 0.0
Pengguna Google,1,2026-03-28 10:44:47,baru pakai sekali mengecewakan. pesan executive po sumber alam dptnya odong² tdk ada toilet bantal n selimut dan penumpang jd satu sama paket barang. komplain ke po malah disuruh komplain ke aplikasi redbus. kata po bus tidak ada kesesuaian aplikasi dan po bus...padahal saya pesan pulang pergi tp beda po bus....untuk yg keberangkatan atau pergi gak ada masalah sesuai fasilitasnya executve bus sinar jaya....yg jd pertanyaan kok bisa tidak ada kesesuaian antara rebus dan po sumber alam???,-0.9705,Negative,-1.0 to -0.5
Pengguna Google,5,2026-03-28 07:50:40,the best pokok e bus nya masyallah 🤗,0.6369,Positive,0.5 to 1.0
Pengguna Google,5,2026-03-27 07:04:24,good and easy to use...thank you,0.7003,Positive,0.5 to 1.0
Pengguna Google,1,2026-03-26 10:39:03,"aplikasi gbisa direfund gimana caranya kita udah pesan bus,malah di cancel",-0.25,Negative,-0.49 to 0.0
Pengguna Google,1,2026-03-24 15:39:10,ribet refundnya..gak gentle company,0.4404,Mixed Negative,0.0 to 0.49
Pengguna Google,2,2026-03-24 05:15:25,saya kan sdh ajukan cancel kok ngk ada pemberitahua dr pihak busnya ya?saya jadi di telfon trus nih tolong dong ini jadi miskom lo.harus nya klk sdh saya ajukan cancel di kasih tahu dr pihak bus nya.tolong di perbaiki lg kinerjanya.,-0.4588,Negative,-0.49 to 0.0
Pengguna Google,5,2026-03-23 07:14:00,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,1,2026-03-22 16:29:11,tolong buat redbus untuk PO. Santoso di bilangin untuk layanannya di perbaiki karena Tante saya yg sudah booking di tgl 22 Maret dari jakarta dan duduk di nomer 19 di suruh turun karena ada pembooking dari Cirebon juga ada yg dpt nomer duduk 19 sangat mengecewakan,-0.5574,Negative,-1.0 to -0.5
Pengguna Google,5,2026-03-22 05:17:42,ok aplikasi sangat membantu,0.296,Positive,0.0 to 0.49
Pengguna Google,1,2026-03-21 17:03:09,aplikasi nya kurang akurat sama pemberangkatan Bus. saya pesan Bus PO SANTOSO. estimasi di aplikasi jam 10 pagi berangkat dari PUL Cikarang dan sampai tempat tujuan jam 22:30 Jogja. malah bus datang jam 16:00 berangkat jam 16:10. PARAH KECEWA ! Si Supirnya saya nanya dengan baik malah di anggap sepele supirnya ga pake seragam pula. Parahnya Harga 365 ribu busnya JELEK Dalemnya BAU ! ga lagi deh KAPOK !,-0.5574,Negative,-1.0 to -0.5
Pengguna Google,5,2026-03-21 08:53:27,redBus aplikasi yg sangat membantu utk perjalanan mudik keluarga kami. thanks n sukses selalu ya.,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-20 23:38:53,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,1,2026-03-20 21:05:42,"aplikasi banyak bug nya, sering error",-0.4019,Negative,-0.49 to 0.0
Pengguna Google,1,2026-03-20 12:46:02,"Aplikasi bodong, percuma ada no Customer Service, tidak ada respon sama sekali.",-0.296,Negative,-0.49 to 0.0
Pengguna Google,4,2026-03-20 09:42:09,"gak semua terminal ada di aplikasi, jadi agak susah pesennya, contohnya bogor barat aja di offline ada tapi di aplikasi gak ada, jadi kurang maksimal",-0.128,Mixed Positive,-0.49 to 0.0
Pengguna Google,5,2026-03-18 15:20:34,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-18 00:29:13,"Bagus dan menyenangkan, so far is good",0.4877,Positive,0.0 to 0.49
Pengguna Google,1,2026-03-17 20:36:19,"pesen tiket bis, tidak ada yg konfirmasi naiknya darimana, harus pembeli yg nyari2 info, pas udah dapat info tempat naiknya jadwal jam 5 sore, sampai jam 20.36 bisnya belum datang.",-0.3612,Negative,-0.49 to 0.0
Pengguna Google,5,2026-03-16 23:06:47,Lebih flexible dengan aplikasi redbus,0.2263,Positive,0.0 to 0.49
Pengguna Google,1,2026-03-15 07:42:43,"Saya beli tiket 2, sebesar 400 ribu, Ketika pas hari H, ada musibah dan tiket tidak bisa cancel dan tidak bisa jual oleh penumpang lainya, baiknya Hati2 kalu beli tiket di sini",-0.25,Negative,-0.49 to 0.0
Pengguna Google,5,2026-03-15 07:26:14,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-14 22:05:22,Good👍👍👍,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-14 08:32:17,ok mantap,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-13 21:47:33,nice,0.4215,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-13 13:44:00,"bagus bgt aplikasi redbus. mudah cara pakainya, tiket langsung diterima, pokoknya best dech",0.6369,Positive,0.5 to 1.0
Pengguna Google,5,2026-03-12 21:22:57,memudarkan untuk mesan tiket bis.sangat Ok layanan nya,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-12 09:37:22,easy and fast,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-11 14:59:50,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,1,2026-03-11 11:45:06,"Jangan pakai apk ini kalau mau mesan tiket, mending langsung telpon P.O nya aja . di apk ini katanya bisa batal / reschedule, ternyata gak bisa, ketika di hubungi ke cs, kata cs P.o bus nya yang gak bisa batal/ reschedule ( kebijakan perusahaan ) ternyata ketika datang ke P.o, cs apk ini yang gak mau ngurus nya , alasannya klasik , muter2, gak mau ngurus tapi nyalahin orang, sangat nggak work it",-0.8957,Negative,-1.0 to -0.5
Pengguna Google,5,2026-03-11 03:28:57,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-10 12:18:52,"Please, banyakin promonya ya untuk shuttle Jakarta Bandung",0.3182,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-09 17:44:44,nice,0.4215,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-09 13:22:48,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,4,2026-03-09 08:46:02,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,1,2026-03-08 22:19:25,"Buat admin reedbus ini apk apaan ya maksudnya? saya beli tiket Gumarang jaya antar kota, sumatera-jkt, sampai terminal kampung rambutan agen Gumarang jaya marah² ke saya, tiket saya di jual lagi ke orang lain secara offline, kalau saya tetap mau tiket saya harus bayar ulang lagi, dan itu di tf ke agennya, saya harus bayar ulang lagi, gunanya apaa ya apk itu ga ada bantuannya. saya sebagai anak rantau gak ikhlas di palakin, susah² terus buat agen Gumarang jaya di kampung rambutan,",-0.128,Negative,-0.49 to 0.0
Pengguna Google,5,2026-03-05 22:28:33,good Jobs for redBus 👍🏽🙏🏾👍🏻🌟🤠🤑🤓😎🥸,0.4404,Positive,0.0 to 0.49
Pengguna Google,1,2026-03-05 09:56:45,tolonglah refund saya kejelasannya. atasnama agus taryana tgl 1 bulan maret. tiket bus dri bali ke bandung. di wa di read saja. diemail gak dibalas. please . masa customer harus memohon2. padahal itu uang dia. klo bisa kasih no kastamer service yg tidak pakai pulsa. Ya Allah ribetnya. May be this is last time I use this application.,0.0258,Negative,0.0 to 0.49
Pengguna Google,5,2026-03-04 19:01:58,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-02 12:41:28,Good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-01 15:06:11,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,1,2026-02-28 19:35:50,sama sekali tidak bisa di pake aplikasinya error,-0.4019,Negative,-0.49 to 0.0
Pengguna Google,5,2026-02-28 12:31:26,aplikasi ok cm bus nya yg ga sesuai dengan tawaran di aplikasi berangkat jam 2 tapi kenyataanya bs jam 4 dan bus nya ga sesuai,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-28 05:07:08,ok bnget,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-27 23:46:11,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-27 16:37:44,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-27 13:06:29,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-27 10:32:51,ok gampang pesenya,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-25 13:37:30,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-24 22:04:05,aplikasi yg ok sangat memudahkan,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-24 12:02:41,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-22 13:08:12,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,3,2026-02-21 15:56:53,"banyak trouble aplikasi nya, sering crash saat mau bayar",-0.6597,Mixed Negative,-1.0 to -0.5
Pengguna Google,5,2026-02-21 04:18:49,"ayo dong,perbanyak kerja sama dgn po"" trayek jawa-sumatera",-0.5574,Mixed Positive,-1.0 to -0.5
Pengguna Google,1,2026-02-20 15:48:45,tolong di perbaiki lgi masak dari poris ke blitar po bis cuma 3 dri kli deres ke blitar sama cuma 3 mang yg masuk ke red bus cuma 3 po aja yg lain gak ada,-0.802,Negative,-1.0 to -0.5
Pengguna Google,5,2026-02-18 17:59:56,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-18 16:33:45,aplikasi good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-16 21:13:20,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-16 15:12:00,good job,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-15 07:52:16,redbus is the best,0.6369,Positive,0.5 to 1.0
Pengguna Google,1,2026-02-13 20:12:08,"beli pakai @redbus ternyata bisnya sdh tidak beroperasi di pulo gebang, sy bl tiket dr tgl 4 feb smp dg 13 feb tidak ada komfirmasi dr @redbusindonesia ataupun brata yudhistira klo bisnya sdh tidak beroperasi",0.5106,Mixed Negative,0.5 to 1.0
Pengguna Google,1,2026-02-12 12:53:35,aplikasi ga jelas mau tuker tiket PO bus Handoyo di agen po Handoyo ga bisa dan belum terdaftar di agen si PO bus dan tidak tiket pemesanan tiket dapat di tukar,-0.8957,Negative,-1.0 to -0.5
Pengguna Google,4,2026-02-12 12:27:33,Aplikasi nya suka rada error,-0.4019,Mixed Positive,-0.49 to 0.0
Pengguna Google,5,2026-02-11 13:58:20,good system,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-10 09:20:59,the best aplikasi👍,0.6369,Positive,0.5 to 1.0
Pengguna Google,5,2026-02-09 23:28:07,top,0.2023,Positive,0.0 to 0.49
Pengguna Google,1,2026-02-09 17:27:55,tidak bisa cancel tiket. hanya salah NIK tiket harus hangus.,-0.25,Negative,-0.49 to 0.0
Pengguna Google,4,2026-02-08 08:23:47,lebih murah dan sangat support,0.4019,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-07 20:37:35,ok bagus,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-06 13:14:27,redbus the best,0.6369,Positive,0.5 to 1.0
Pengguna Google,5,2026-02-05 14:46:54,good apk,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-05 07:39:06,good price,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-02-03 13:23:27,busnya nyaman...fasilitas ok makan rasa ok,0.5267,Positive,0.5 to 1.0
Pengguna Google,5,2026-02-02 12:54:00,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,2,2026-01-31 07:39:24,sudah beberapa kali ga bisa gunain no tiket utk dpt diskon,-0.296,Negative,-0.49 to 0.0
Pengguna Google,5,2026-01-30 03:47:35,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-01-29 12:23:34,ok banget,0.296,Positive,0.0 to 0.49
Pengguna Google,3,2026-01-25 23:22:12,"Sebenarnya semua nya sudah ok, cuma kecewa sama bus sinar jaya karena saya selalu diturunin di pinggir jalan, bukan di terminal seperti yang tertera di tiket...",0.296,Mixed Positive,0.0 to 0.49
Pengguna Google,5,2026-01-24 12:04:34,ok bisa diandalkan nih buat tugas luar,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-01-23 11:02:08,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,1,2026-01-22 23:05:19,"maaf min gk jadi lewat aplikasi ini, ulasan bintang 1,2 dan 3 ngeri2 semua! uangnya pada hangus semua, gk bisa kembali, dan kebanyakan pihak P.O tdk mau melayani penumpang pesan lewat aplikasi ini, gpp sudh kluar uang puluhan ribu buat bensin prgi ke agen saja, dri pda ratusan ribu yg hangus,,",-0.5574,Negative,-1.0 to -0.5
Pengguna Google,5,2026-01-22 15:35:58,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-01-22 14:09:57,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,1,2026-01-20 16:24:06,"kapan uang saya di kembalikan, saya sudah cancel pembelian tiket tapi Samapi sekarang uang nya belum juga di transfer dari pihak Red bus. catatan: untuk penguna Red bus, saran saya kalo sudah pesan jgn di cancel, karena uang anda nanti susah untuk di kembalikan. contoh nya seperti saya. jadi saya menghimbau untuk kalian semua agar berhati-hati.",-0.4588,Negative,-0.49 to 0.0
Pengguna Google,5,2026-01-19 18:44:03,"Terima kasih redbus, pesen tiket bus online dengan armada bus dari PO. Gunung Harta tujuan Bogor-Denpasar sangat memuaskan perjalanan kami, pemesanan gak ribet, bus juga on time datangnya. interior bus dan seat nya nyaman banget",-0.5574,Mixed Positive,-1.0 to -0.5
Pengguna Google,5,2026-01-19 16:07:04,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-01-16 12:20:15,awesome,0.6249,Positive,0.5 to 1.0
Pengguna Google,5,2026-01-14 15:33:13,top,0.2023,Positive,0.0 to 0.49
Pengguna Google,5,2026-01-13 21:29:39,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-01-13 12:30:03,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-01-13 09:22:50,easy to use,0.4404,Positive,0.0 to 0.49
Pengguna Google,1,2026-01-10 18:17:27,"tiket di tolak, perbedaan nama dengan ktp, padahal jelas jelas ada bukti bayar, kode QR, masalah seperti ini saja tidak bisa refund, tiket tidak digunakan hangus deh, udah tahu nama beda sama ktp masih diterima aja duitnya, sistem macem apa itu, harusnya tolak dong, yang nyebelin lagi PO sinarjaya minta beli tiket lagi offline, ya beli lah, kocak emang kursi 5 kosong gw beli kursi 6, jadi beli 2 tiket dalam 1 perjalanan, luarrr biasa , males lagi pake aplikasi ini,",-0.6249,Negative,-1.0 to -0.5
Pengguna Google,4,2026-01-10 18:05:05,tidakbisa ngesave pesanan terakhir ketika ad trouble atau balik lagi ke menu dashboard,-0.4019,Mixed Positive,-0.49 to 0.0
Pengguna Google,1,2026-01-08 22:05:16,"mengecewakan di jadwal redbus sama po bus tidak sama keberangkatan busnya, barusan saya beli tiket 510,000 hangus, gara2 ngk sesuai jm keberangkatan redbus sama po busnya. padahal saya dateng tepat wsktu di redbusnya tapi po busnya udah jalan.",-0.8957,Negative,-1.0 to -0.5
Pengguna Google,4,2026-01-08 10:06:24,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,2,2026-01-06 13:55:45,aplikasi error,-0.4019,Negative,-0.49 to 0.0
Pengguna Google,5,2026-01-04 12:02:33,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-01-03 17:45:39,"very easy to go every time,👌👍",0.4927,Positive,0.0 to 0.49
Pengguna Google,1,2026-01-03 11:39:54,"baru aja install, pilih country....sdh ga bisa di apa²in. nge lag",-0.34,Negative,-0.49 to 0.0
Pengguna Google,1,2026-01-03 07:25:43,"di tiket yg saya pesan, jam naik dan turunnya diwaktu yg sama, yaitu naik 16:30 tgl 3 dan turun(tiba) 16:30 tgl 3. karna ketidak jelasan tersebut saya menanyakan ke nomer operator yg disediakan baik dari redbus nya maupun bus terkaitnya, tetapi tidak ada jawaban sama sekali, sehingga membuat saya harus datang langsung ke tempat yg letaknya cukup jauh dari rumah saya (20km+) pagi pagi untuk memastikan apakah itu bus pagi atau sore.. dan sialnya ternyata itu bus sore. saya rate bintang 1 ya",-0.6124,Negative,-1.0 to -0.5
Pengguna Google,5,2026-01-02 17:55:06,sangat ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-31 09:55:33,sangat membantu dan ok banget redbus,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-31 06:23:10,nice bgs,0.4215,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-30 20:55:25,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,1,2025-12-30 12:22:23,"Di ketentuan dari aplikasi tidak ada tertera nama harus sesuai dengan KTP sedangkan ketika kami boarding, dari pihak PO Sinar Jaya menyatakan tidak bisa kalau nama di tiket tidak sesuai dengan KTP sehingga tiket dinyatakan hangus Dan kami harus membeli ulang tiket, ini sangat merugikan pengalaman pertama kami menggunakan redbus dan PO Sinar Jaya",-0.802,Negative,-1.0 to -0.5
Pengguna Google,5,2025-12-29 19:32:08,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-27 10:09:45,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-27 10:08:27,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-26 19:20:52,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-26 18:03:33,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-26 15:02:15,good aplication,0.4404,Positive,0.0 to 0.49
Pengguna Google,1,2025-12-25 17:58:07,"aplikasi yg sangat buruk, pesen tiket bus pandawa 87 sleeper 10hari sebelum keberangkatan pas hari H tiket yg dikasih tiket dengan kursi biasa dan pihak redbus tidak ada tanggapan pada saat komplain dan pihak bus juga ngk mau tanggung jawab karena pemesanan lewat online,saran saya mending langsung datang ke agen atau PO nya langsung daripada pesen tiket online malah tidak sesuai dan tidak ada tanggung jawab atau etika baik untuk konfirmasi jika adanya perubahan dari pada rugi dan kecewa hasilnya",-0.5574,Negative,-1.0 to -0.5
Pengguna Google,1,2025-12-25 02:15:26,"aplikasi banyak bug. bis yg ready tapi gak bisa pesan, ketersediaan kursi gak jelas, mau pesan balik ke halaman awal, waktu tempuh ngawur, parah aplikasinya.",0.3612,Mixed Negative,0.0 to 0.49
Pengguna Google,5,2025-12-24 22:41:22,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-24 20:34:44,"terima kasih, super murah",0.5994,Positive,0.5 to 1.0
Pengguna Google,5,2025-12-22 10:04:51,TOP MARKOTOP,0.2023,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-20 10:04:51,ok smuanya,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-19 18:34:32,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-19 11:40:38,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-19 07:47:14,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-17 17:31:23,nice,0.4215,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-16 11:12:56,fasilitas ok pemesanan jg tdk ribet,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-15 21:28:06,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-15 19:09:52,ok siap,0.296,Positive,0.0 to 0.49
Pengguna Google,1,2025-12-15 02:39:56,"APLIKASI SAMPAH!!!! SISTEM DI APLIKASI KALAH DENGAN PEMBELIAN SECARA OFFLINE... SISTEMNYA G JALAN, CENDERUNG KAKU TERHADAP KONSUMEN!!!! CS NYA TIDAK SOLUTIF (APALAGI YANG CS BERNAMA RANGGA)!!? PERCAYALAH...BELI SECARA OFFLINE LEBIH MURAH DIBANDING BELI PAKAI APLIKASI INI...👎👎👎👎...MASA BELI 2 TIKET TAPI YANG BERLAKU HANYA 1 TIKET...??????",-0.25,Negative,-0.49 to 0.0
Pengguna Google,5,2025-12-11 16:23:07,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-10 10:06:35,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-09 19:28:59,Ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-07 13:48:15,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2025-12-07 11:17:59,"Memudahkan perjalanan bagi yang mau travelling / tujuan lainnya, dan ada promo² special dari aplikasinya. Hatur nuhun redbus",0.4019,Positive,0.0 to 0.49
